DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
287,3708700005049       ,287,00005049    9       ,0,0,1,18,Cecil               
288,3708700005050       ,288,00005050    0       ,0,0,1,18,Cecil               
289,3708700005051       ,289,00005051    1       ,0,0,1,18,Cecil               
290,3708700005052       ,290,00005052    2       ,0,0,1,22,Maggie Valley       
291,3708700005053       ,291,00005053    3       ,0,0,1,22,Maggie Valley       
292,3708700005054       ,292,00005054    4       ,0,0,1,22,Maggie Valley       
293,3708700005055       ,293,00005055    5       ,0,0,1,1,Waynesville         
294,3708700005056       ,294,00005056    6       ,0,0,1,22,Maggie Valley       
295,3708700005057       ,295,00005057    7       ,0,0,1,7,Fines Creek         
296,3708700005058       ,296,00005058    8       ,0,0,1,1,Waynesville         
297,3708700005059       ,297,00005059    9       ,0,0,1,7,Fines Creek         
298,3708700005060       ,298,00005060    0       ,0,0,1,3,Canton              
299,3708700005061       ,299,00005061    1       ,0,0,1,3,Canton              
300,3708700005062       ,300,00005062    2       ,0,0,1,3,Canton              
301,3708700005063       ,301,00005063    3       ,0,0,1,3,Canton              
302,3708700005064       ,302,00005064    4       ,0,0,1,3,Canton              
303,3708700005065       ,303,00005065    5       ,0,0,1,3,Canton              
304,3708700005066       ,304,00005066    6       ,0,0,1,3,Canton              
305,3708700005067       ,305,00005067    7       ,0,0,1,3,Canton              
306,3708700005068       ,306,00005068    8       ,0,0,1,3,Canton              
307,3708700005070       ,307,00005070    0       ,0,0,1,3,Canton              
308,3708700005071       ,308,00005071    1       ,0,0,1,3,Canton              
309,3708700005072       ,309,00005072    2       ,0,0,1,16,Cruso               
310,3708700005073       ,310,00005073    3       ,0,0,1,16,Cruso               
311,3708700005074       ,311,00005074    4       ,0,0,1,16,Cruso               
312,3708700005075       ,312,00005075    5       ,0,0,1,16,Cruso               
313,3708700005076       ,313,00005076    6       ,0,0,1,16,Cruso               
314,3708700005077       ,314,00005077    7       ,0,0,1,18,Cecil               
315,3708700005078       ,315,00005078    8       ,0,0,1,18,Cecil               
316,3708700005101       ,316,00005101    1       ,0,0,1,3,Canton              
317,3708700005102       ,317,00005102    2       ,0,0,1,3,Canton              
318,3708700005103       ,318,00005103    3       ,0,0,1,3,Canton              
319,3708700005104       ,319,00005104    4       ,0,0,1,3,Canton              
320,3708700005105       ,320,00005105    5       ,0,0,1,3,Canton              
321,3708700005106       ,321,00005106    6       ,0,0,1,3,Canton              
322,3708700005107       ,322,00005107    7       ,0,0,1,3,Canton              
323,3708700005108       ,323,00005108    8       ,0,0,1,3,Canton              
324,3708700005109       ,324,00005109    9       ,0,0,1,3,Canton              
325,3708700005110       ,325,00005110    0       ,0,0,1,3,Canton              
326,3708700005111       ,326,00005111    1       ,0,0,1,3,Canton              
327,3708700005112       ,327,00005112    2       ,0,0,1,3,Canton              
328,3708700005113       ,328,00005113    3       ,0,0,1,3,Canton              
329,3708700005114       ,329,00005114    4       ,0,0,1,3,Canton              
330,3708700005115       ,330,00005115    5       ,0,0,1,3,Canton              
331,3708700005201       ,331,00005201    1       ,0,0,1,3,Canton              
332,3708700005202       ,332,00005202    2       ,0,0,1,3,Canton              
333,3708900005433       ,333,00005433    3       ,0,0,1,23,Green River         
334,3708700005302       ,334,00005302    2       ,0,0,1,22,Maggie Valley       
335,3708700005303       ,335,00005303    3       ,0,0,1,22,Maggie Valley       
336,3708700005304       ,336,00005304    4       ,0,0,1,22,Maggie Valley       
337,3708900005432       ,337,00005432    2       ,0,0,1,23,Green River         
338,3708900005431       ,338,00005431    1       ,0,0,1,23,Green River         
339,3708700005308       ,339,00005308    8       ,0,0,1,22,Maggie Valley       
340,3708700005401       ,340,00005401    1       ,0,0,1,1,Waynesville         
