ID,Street Name,Route Number,COUNTY,Screenline,TIP Project,Count Station ID,2005 Count Total,AB 2005 Count,BA 2005 Count,2005 Count,FUN_CLASS,CTP_Type,CTP_CD,TERRAIN_CD,DIVIDED_CD,SPD_LIMIT,LANE_WIDTH,AB_LANES,BA_LANES,MODE,CanWalk,TruckRstr
24238,Bethesda Rd                         ,            ,Buncombe        ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,4,0,35,12,0,0,1   ,1,0
11078,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
11008,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23053,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
12399,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,       ,0,0,0,0,5,Minor Thoroughfares        ,5,4,0,35,12,1,1,1   ,1,0
23056,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
23057,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
10621,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
10708,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,1000286,25080,11000,11000,22000,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
10893,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,1000295,11330,5500,5500,11000,5,Minor Thoroughfares        ,5,4,0,35,12,1,1,1   ,1,0
10692,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
10548,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,1000296,17100,7500,7500,15000,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23978,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23059,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,11,1,1,1   ,1,0
23067,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,12,1,0,1   ,1,0
23065,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,12,1,1,1   ,1,0
23064,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,12,1,0,1   ,1,0
23063,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,12,1,0,1   ,1,0
10504,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23066,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,25,12,1,1,1   ,1,0
10457,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23071,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,11,1,0,1   ,1,0
23072,Blue Ridge Pky Ramp                 ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,25,11,1,0,1   ,1,0
16241,Town Mountain Rd                    ,694         ,Buncombe        ,0,         ,0100755,370.8,180,180,360,4,Other Major Thoroughfares  ,4,4,0,35,12,1,1,1   ,1,0
18128,Town Mountain Rd                    ,694         ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,4,0,35,11,1,1,1   ,1,0
23392,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
24033,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,       ,0,0,0,0,5,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
23381,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,       ,0,0,0,0,5,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
16802,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,       ,0,0,0,0,5,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
3169,Charlotte Hwy                       ,74A         ,Buncombe        ,0,         ,0100085,3104,1600,1600,3200,3,Other Major Thoroughfares  ,4,4,0,45,12,1,1,1   ,1,0
25853,Mills Gap Rd E                      ,1586        ,Henderson       ,0,         ,0441535,1751,850,850,1700,7,Minor Thoroughfares        ,5,4,0,45,11,1,1,1   ,1,0
25933,Clear Creek Rd                      ,1572        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,4,0,45,11,1,1,1   ,1,0
27667,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
27668,Bearwallow Rd                       ,1569        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,3,0,45,10,1,1,1   ,1,0
27660,Terrys Gap Rd                       ,1565        ,Henderson       ,0,         ,       ,0,0,0,0,6,Minor Thoroughfares        ,5,3,0,45,10,1,1,1   ,1,0
27661,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
27663,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
25948,Bearwallow Rd                       ,1569        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,3,0,30,10,1,1,1   ,1,0
27649,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
27651,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
25887,Terrys Gap Rd                       ,1565        ,Henderson       ,0,         ,0441594,1648,800,800,1600,6,Minor Thoroughfares        ,5,3,0,45,10,1,1,1   ,1,0
25961,Hoopers Creek Rd                    ,1569        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,3,0,30,10,1,1,1   ,1,0
24580,SR 1569                             ,1569        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
25906,Terrys Gap Rd                       ,1565        ,Henderson       ,0,         ,0440237,1545,750,750,1500,6,Minor Thoroughfares        ,5,3,0,45,10,1,1,1   ,1,0
27658,Fruitland Rd                        ,1574        ,Henderson       ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,4,0,35,11,1,1,1   ,1,0
27659,                                    ,            ,Henderson       ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
27648,Terrys Gap Rd                       ,1565        ,Henderson       ,0,         ,       ,0,0,0,0,6,Minor Thoroughfares        ,5,3,0,45,10,1,1,1   ,1,0
