ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
272 , M23L25MO , RTE 7:CBD TO DOLPHIN MALL W/B   ,21,292,30,40,30,,1.2,SV   ,7    ,4828 ,23   
273 , M23L26MI , RTE 7: METRO HOSP TO CBD E/B    ,21,292,30,40,30,,1.2,SV   ,7    ,4828 ,23   
274 , M23L26MO , RTE 7:CBD TO METRO HOSP W/B     ,21,292,30,40,30,,1.2,SV   ,7    ,4828 ,23   
275 , M23L27MI , RTE 8: FIU TO CBD VIA 24TH ST E/,21,292,18,15,18,,1.2,SV   ,8    ,7598 ,23   
276 , M23L27MO , RTE 8: CBD TO FIU VIA 24TH ST W/,21,292,18,15,18,,1.2,SV   ,8    ,7598 ,23   
277 , M23L28MI , RTE 8: 57TH AVE TO CBD VIA 24TH ,21,292,30,15,30,,1.2,SV   ,8    ,7598 ,23   
278 , M23L28MO , RTE 8: CBD TO 57TH AVE VIA 24TH ,21,292,30,15,30,,1.2,SV   ,8    ,7598 ,23   
279 , M23L29MI , RTE 8: FIU TO CBD VIA 8TH ST E/B,21,292,30,30,30,,1.2,SV   ,8    ,7598 ,23   
280 , M23L29MO , RTE 8: CBD TO FIU VIA 8TH ST W/B,21,292,30,30,30,,1.2,SV   ,8    ,7598 ,23   
281 , M23L30MI , RTE 9: AVENTURA MALL TO CBD S/B ,21,292,25,30,25,,1.2,SV   ,9    ,6014 ,23   
282 , M23L30MO , RTE 9: CBD TO AVENTURA MALL N/B ,21,292,19,30,19,,1.2,SV   ,9    ,6014 ,23   
283 , M23L31MI , RTE 9: 163RD MALL TO CBD S/B    ,21,292,38,60,38,,1.2,SV   ,9    ,6014 ,23   
284 , M23L31MO , RTE 9: CBD TO 163RD MALL N/B    ,21,292,30,60,30,,1.2,SV   ,9    ,6014 ,23   
285 , M23L32MI , RTE 10: 163RD ST MALL TO  CBD S/,21,292,30,30,30,,1.2,SV   ,10   ,2633 ,23   
286 , M23L32MO , RTE 10: CBD TO 163RD ST MALL    ,21,292,30,30,30,,1.2,SV   ,10   ,2633 ,23   
287 , M23L33MI , RTE 11: FIU TO CBD E/B          ,21,292,16,24,16,,1.2,SV   ,11   ,13523,23   
288 , M23L33MO , RTE 11: CBD TO FIU W/B          ,21,292,16,24,16,,1.2,SV   ,11   ,13523,23   
289 , M23L34MI , RTE 11: MIDWAY MALL TO CBD E/B  ,21,292,16,24,16,,1.2,SV   ,11   ,13523,23   
290 , M23L34MO , RTE 11: CBD TO MIDWAY MALL W/B  ,21,292,16,24,16,,1.2,SV   ,11   ,13523,23   
291 , M23L35MD , RTE 12: NS -> MERCY VIA 12TH AVE,21,292,30,30,30,,1.2,SV   ,12   ,3511 ,23   
292 , M23L36MI , RTE 16: 163RD ST MALL TO CBD S/B,21,292,18,30,18,,1.2,SV   ,16   ,5005 ,23   
293 , M23L36MO , RTE 16: CBD TO 163RD ST MALL    ,21,292,18,30,18,,1.2,SV   ,16   ,5005 ,23   
294 , M23L37MD , RTE 17: VZ STA TO NORWOOD       ,21,292,30,30,30,,1.2,SV   ,17   ,4928 ,23   
295 , M23L38MD , RTE 17: FLG TO NW 103RD ST & 7TH,21,292,30,30,30,,1.2,SV   ,17   ,4928 ,23   
296 , M23L40MI , RTE 21: NORTHSIDE TO CBD S/B    ,21,292,30,30,30,,1.2,SV   ,21   ,2543 ,23   
297 , M23L40MO , RTE 21: CBD TO NORTHSIDE        ,21,292,30,30,30,,1.2,SV   ,21   ,2543 ,23   
298 , M23L41MI , RTE 22: 163RD ST MALL TO GROVE S,21,292,30,60,30,,1.2,SV   ,22   ,4096 ,23   
299 , M23L41MO , RTE 22: GROVE TO 163RD ST MALL N,21,292,30,60,30,,1.2,SV   ,22   ,4096 ,23   
300 , M23L42MI , RTE 22: 163RD ST MALL TO FLAGLER,21,292,30,60,30,,1.2,SV   ,22   ,4096 ,23   
301 , M23L42MO , RTE 22: FLAGLER TO 163RD ST MALL,21,292,30,60,30,,1.2,SV   ,22   ,4096 ,23   
302 , M23L43MI , RTE 24:137TH AVE TO CBD  E/B    ,21,292,50,40,50,,1.2,SV   ,24   ,4360 ,23   
303 , M23L43MO , RTE 24:  CBD TO 137TH AVE W/B   ,21,292,40,40,40,,1.2,SV   ,24   ,4360 ,23   
304 , M23L44MI , RTE 24: WESTCHSTR -> CBD E/B    ,21,292,40,40,40,,1.2,SV   ,24   ,4360 ,23   
305 , M23L44MO , RTE 24: CBD TO WESTCHSTR W/B    ,21,292,40,40,40,,1.2,SV   ,24   ,4360 ,23   
306 , M23L45MD , RTE 27:CALDER TO GROVE NOT VIA 3,21,292,30,30,30,,1.2,SV   ,27   ,8927 ,23   
307 , M23L46MD , RTE 27: CALDER TO GROVE VIA 37TH,21,292,30,30,30,,1.2,SV   ,27   ,8927 ,23   
308 , M23L48MI , RTE 29: VOTECH -> TRI PARK HLH S,21,292,45,45,45,,1.2,SV   ,29   ,897  ,23   
309 , M23L48MO , RTE 29: TRI PARK TO HLHVOTECH N/,21,292,45,45,45,,1.2,SV   ,29   ,897  ,23   
310 , M23L103MI , RTE 31: BUSWY LOCAL SB FROM DL-S,21,292,15,30,15,,1.2,SV   ,31-BU,2341 ,23   
311 , M23L103MO , RTE 31: BUSWY LOCAL-NB FROM SW 2,21,292,15,30,15,,1.2,SV   ,31-BU,2341 ,23   
312 , M23L49MI , RTE 32: CAROL CITY TO OMNI S/B  ,21,292,24,30,24,,1.2,SV   ,32   ,4218 ,23   
313 , M23L49MO , RTE 32:  OMNI TO CAROL CITY N/B ,21,292,24,30,24,,1.2,SV   ,32   ,4218 ,23   
314 , M23L50MD , RTE 33: LITTLE RIVER -> HL GDN W,21,292,35,35,35,,1.2,SV   ,33   ,2257 ,23   
315 , M23L51MI , RTE 35: MDCC-S -> FLA CITY IB   ,21,292,30,30,30,,1.2,SV   ,35   ,2296 ,23   
316 , M23L51MO , RTE 35: MDCC-S -> FLA CITY OB   ,21,292,30,30,30,,1.2,SV   ,35   ,2296 ,23   
317 , M23L52MD , RTE 36: DORAL CTR -> OMNI EB    ,21,292,60,60,60,,1.2,SV   ,36   ,2954 ,23   
318 , M23L520MD , RTE 36: DOLPHIN -> OMNI EB      ,21,292,60,60,60,,1.2,SV   ,36   ,2954 ,23   
319 , M23L53MD , RTE 36: MIAMI SPRINGS -> OMNI EB,21,292,60,60,60,,1.2,SV   ,36   ,2954 ,23   
320 , M23L54MI , RTE 37: SM STA -> ML VOTECH N/B ,21,292,30,30,30,,1.2,SV   ,37   ,3763 ,23   
321 , M23L54MO , RTE 37:  ML VOTECH TO SM STA S/B,21,292,30,30,30,,1.2,SV   ,37   ,3763 ,23   
322 , M23L55MD , RTE 40: 132ND AVE & 8TH ST -> CR,21,292,20,60,20,,1.2,SV,40,2815,23
323 , M23L56MD , RTE 40: 147TH AVE -> DOUGLAS STA,21,292,20,60,20,,1.2,SV,40,2815,23
324 , M23L57MI , RTE 42: OPA LOCKA -> DOUGLAS RD ,21,292,30,60,30,,1.2,SV   ,42   ,1653 ,23   
325 , M23L57MO , RTE 42: OPA LOCKA -> DOUGLAS RD ,21,292,30,60,30,,1.2,SV   ,42   ,1653 ,23   
326 , M23L570MI , RTE 42: MIAMI SPRINGS -> DOUGLAS,21,292,30,60,30,,1.2,SV   ,42   ,1653 ,23   
327 , M23L570MO , RTE 42: MIAMI SPRINGS -> DOUGLAS,21,292,30,60,30,,1.2,SV,42,1653,23
328 , M23L169MD , RTE 46: LIBERTY CITY CONN       ,21,292,40,60,40,,1.2,SV   ,46   ,294  ,23   
329 , M23L58MI , RTE 48: SM STA -> BRK N/B       ,21,292,60,60,60,,1.2,SV   ,48   ,704  ,23   
330 , M23L58MO , RTE 48: BRK TO SM STA S/B       ,21,292,60,60,60,,1.2,SV   ,48   ,704  ,23   
